period,median,lower90,upper90,date,region
1,5.15892882970204,4.50300606027778,5.8138733751643095,1997 Q4,AUS
2,4.910426834280619,4.04911137043199,5.776977949345474,1998 Q1,AUS
3,4.645375955184502,3.630419826089957,5.675844486240419,1998 Q2,AUS
4,4.395343695346985,3.2272097947188483,5.568769886265158,1998 Q3,AUS
5,4.166449209144103,2.9051584330620606,5.4211758818565166,1998 Q4,AUS
6,4.133651931267173,2.860346872604114,5.425719291696246,1999 Q1,AUS
7,3.8998087524586573,2.533030382442377,5.343514387767102,1999 Q2,AUS
8,3.664807541546524,2.262178746510376,5.184522193504171,1999 Q3,AUS
9,3.427090681317404,1.9603470761817765,5.0498636084564925,1999 Q4,AUS
10,3.1525326403509957,1.6236949602917878,4.8330204730898805,2000 Q1,AUS
11,2.8324997965575918,1.2965383799783798,4.539374708888085,2000 Q2,AUS
12,2.581165723812827,1.0569705139689238,4.254945606647573,2000 Q3,AUS
13,2.4830248795711505,0.9210964667247009,4.0489177995412655,2000 Q4,AUS
14,2.6242593756974966,1.0425525523868804,4.1308783106643885,2001 Q1,AUS
15,2.567422155092891,0.9864392666565354,4.116786180781245,2001 Q2,AUS
16,2.560920417638509,0.9293425171465812,4.117291134977909,2001 Q3,AUS
17,2.613614822032603,0.9587514792227889,4.145181691759031,2001 Q4,AUS
18,2.513786770558073,0.8985780770283365,4.0810594675501095,2002 Q1,AUS
19,2.3699870204609415,0.7822947208534978,3.9756600248068503,2002 Q2,AUS
20,2.217490691093067,0.638063896403376,3.8319262464944037,2002 Q3,AUS
21,2.141049482143104,0.5481903079844368,3.6731132213956434,2002 Q4,AUS
22,2.16478590331931,0.6159311373384473,3.724375988624517,2003 Q1,AUS
23,1.9459937761017936,0.3756186935378148,3.5177869743917,2003 Q2,AUS
24,1.870381685240175,0.28397750988014947,3.3746682303949953,2003 Q3,AUS
25,1.956316733687859,0.4071334752560563,3.4129154795255086,2003 Q4,AUS
26,1.8167477405335706,0.26450724915993856,3.379176995645926,2004 Q1,AUS
27,1.4830265707095158,-0.07294175195521624,3.10024834368377,2004 Q2,AUS
28,1.3318079715630997,-0.17977432040450622,2.8228032072428326,2004 Q3,AUS
29,1.3022552848430327,-0.17267701085043138,2.714321523064376,2004 Q4,AUS
30,1.272626606671399,-0.18593837685946218,2.68462568501739,2005 Q1,AUS
31,1.1141086887170435,-0.33317640773236257,2.532605744427378,2005 Q2,AUS
32,1.0882953948237075,-0.3583977558947316,2.460923812580285,2005 Q3,AUS
33,1.0906474735999359,-0.3841847592882164,2.434455407658246,2005 Q4,AUS
34,1.1554946651089222,-0.3143067430542178,2.4841879395311093,2006 Q1,AUS
35,1.1403856558822976,-0.2567295905816467,2.488026725642099,2006 Q2,AUS
36,0.9442959116176091,-0.4512749406453093,2.3034748663937825,2006 Q3,AUS
37,0.9720077004034234,-0.41646303079489966,2.2444427370666937,2006 Q4,AUS
38,1.0073145206107839,-0.3702216749207745,2.2453746928680807,2007 Q1,AUS
39,0.9331125854851186,-0.39692626840149103,2.1793708083647765,2007 Q2,AUS
40,0.9253990492182267,-0.4041822097359999,2.1320855699652266,2007 Q3,AUS
41,0.9742964339862201,-0.3765611209278415,2.170712161238145,2007 Q4,AUS
42,1.0364983780936652,-0.3156042096221774,2.2068493859951204,2008 Q1,AUS
43,1.0757850341851756,-0.21033868925612179,2.247562164813547,2008 Q2,AUS
44,1.0495897635707112,-0.41665686070028185,2.3257437187571615,2008 Q3,AUS
45,1.5038868942986432,-0.10747430086671346,2.7935622438460386,2008 Q4,AUS
46,1.6815440730886304,0.03212613165002533,3.0695709713920465,2009 Q1,AUS
47,1.904943205165609,0.2905431404078452,3.255063823486291,2009 Q2,AUS
48,1.8737017528032156,0.34634416451467465,3.2335957448646484,2009 Q3,AUS
49,1.8865860269776569,0.38203490510006793,3.2507579998000597,2009 Q4,AUS
50,1.8846027249487842,0.4703677627664028,3.2580888838338087,2010 Q1,AUS
51,1.717201140133281,0.2638665015617036,3.100286350231849,2010 Q2,AUS
52,1.809196246249513,0.3108206931903896,3.1593895364587876,2010 Q3,AUS
53,1.8924451908879756,0.3709980712164786,3.2552655533393002,2010 Q4,AUS
54,2.0166244793871204,0.593454352270316,3.329802088188777,2011 Q1,AUS
55,1.9275385326905545,0.5370170270733987,3.2946998547443123,2011 Q2,AUS
56,1.9603093185925036,0.4614128955483663,3.3824737934496207,2011 Q3,AUS
57,2.189033948248127,0.6068451668732573,3.621322457636933,2011 Q4,AUS
58,2.340974758472997,0.7800026617104764,3.7752441886681316,2012 Q1,AUS
59,2.5278194038889503,0.9370431491351102,3.9851271632157497,2012 Q2,AUS
60,2.753117306109215,1.0596594631054426,4.272066371487971,2012 Q3,AUS
61,3.0735706644844676,1.3839258725650605,4.598999414789442,2012 Q4,AUS
62,3.2805470070105875,1.680277281137163,4.775451469118219,2013 Q1,AUS
63,3.42409694105058,1.8523796759171756,4.928817103858715,2013 Q2,AUS
64,3.563776984617602,2.005151771780877,5.086557821065218,2013 Q3,AUS
65,3.740795317138451,2.1154086758572226,5.314986420542232,2013 Q4,AUS
66,3.9690222519953062,2.3470610857175997,5.564748307195773,2014 Q1,AUS
67,4.115282475201192,2.5965411954894715,5.6803194242085,2014 Q2,AUS
68,4.237677113664256,2.632244410841249,5.8794325393308595,2014 Q3,AUS
69,4.4951377750489385,2.8746766663085093,6.1123557988289186,2014 Q4,AUS
70,4.587711791970359,3.0259212400603017,6.154705973840061,2015 Q1,AUS
71,4.678056344413953,3.175823071914675,6.221351109231505,2015 Q2,AUS
72,4.719285901919937,3.239462180563244,6.2514879782457315,2015 Q3,AUS
73,4.780998497393531,3.365455055040691,6.279117603813199,2015 Q4,AUS
74,4.733454576011969,3.3336813412976065,6.2111010352325176,2016 Q1,AUS
75,4.720294925065646,3.3868547105436506,6.190932305871121,2016 Q2,AUS
76,4.620801895503478,3.297531537847598,6.082399259394835,2016 Q3,AUS
77,4.622530279955396,3.303279219974931,6.082526374731559,2016 Q4,AUS
78,4.551036013164971,3.2315643605182394,6.002494119202551,2017 Q1,AUS
79,4.498842034080917,3.199725071217693,5.941278669091944,2017 Q2,AUS
80,4.374606636984183,3.072076728420455,5.8014682702730695,2017 Q3,AUS
81,4.357947488919228,3.071003940771055,5.765932680754012,2017 Q4,AUS
82,4.209875641239224,2.9581920808156843,5.622891872794708,2018 Q1,AUS
83,4.118561103513407,2.8563695649878027,5.517108364501031,2018 Q2,AUS
84,4.121745840306522,2.8653592011071596,5.469556450556144,2018 Q3,AUS
85,4.103520103749567,2.8906261611653017,5.445223338347805,2018 Q4,AUS
86,4.069478303048651,2.850264450707787,5.407458877122597,2019 Q1,AUS
87,4.156712365859997,2.9224208361539494,5.488334890525091,2019 Q2,AUS
88,4.255737358645381,2.972546346098375,5.566728277982186,2019 Q3,AUS
89,4.4374111629858595,3.1416885048256415,5.710899160343034,2019 Q4,AUS
90,4.603738489715914,3.379304919341321,5.867040486932128,2020 Q1,AUS
91,4.622697477415402,3.361508925283853,6.0070784265069275,2020 Q2,AUS
92,4.47356317075572,3.1849352476363495,5.8664130106047505,2020 Q3,AUS
93,4.400553328943062,3.1144145264005876,5.8008303235232574,2020 Q4,AUS
94,4.1401387083996095,2.7914214839641742,5.7391779083275525,2021 Q1,AUS
95,3.629159749571129,2.1395237688704203,5.459516782974665,2021 Q2,AUS
96,3.1069493850773675,1.6363470299041771,4.903220212532099,2021 Q3,AUS
97,2.694746696442115,1.311353018781881,4.387946365789873,2021 Q4,AUS
98,2.198637567040226,0.7647111638945454,4.009845830628642,2022 Q1,AUS
99,1.6588656017983119,0.4013946985852166,3.2388592528453226,2022 Q2,AUS
100,1.4750518906339476,0.39387474935359545,2.7808972345583642,2022 Q3,AUS
101,1.2468890862293296,0.1624966870334388,2.5021065449197377,2022 Q4,AUS
102,0.93626321353672,-0.21579525405757052,2.2949340074945117,2023 Q1,AUS
103,0.6168864635650002,-0.5164649699419066,1.7197525737063786,2023 Q2,AUS
104,0.9197465562997844,-0.30009354610229927,2.0053993000487513,2023 Q3,AUS
105,1.1724349449495066,-0.02953160601637907,2.2170760283433895,2023 Q4,AUS
106,1.16673904688174,-0.015842422866636074,2.206755997297827,2024 Q1,AUS
107,1.0960686176047876,-0.1667837597735428,2.2500966674940965,2024 Q2,AUS
108,1.2039713609886689,-0.17521447260069126,2.4779223658640874,2024 Q3,AUS
109,1.1750876447348348,-0.3520129372160494,2.5942241646927013,2024 Q4,AUS
110,1.165440820122965,-0.4621377325428381,2.7208760031205066,2025 Q1,AUS
1,5.5853293667143,4.7385231696821535,6.105437657461305,1997 Q4,NSW
2,5.643809148365967,4.394840510706911,6.269052546533718,1998 Q1,NSW
3,5.7082610946125625,4.099955939383408,6.428551349960822,1998 Q2,NSW
4,5.787460239637765,3.779933796104616,6.576276531096319,1998 Q3,NSW
5,5.812499382154801,3.554678887143936,6.608943437921636,1998 Q4,NSW
6,5.878442858531264,3.4030104878515597,6.7054787049196305,1999 Q1,NSW
7,5.933219291889746,3.2164857889208527,6.780732438394026,1999 Q2,NSW
8,6.01119983665336,2.9915536516107584,6.896253139542972,1999 Q3,NSW
9,6.079541124197791,2.6935278214752487,7.020811292610433,1999 Q4,NSW
10,6.132637734316289,2.350825015385265,7.086163017104627,2000 Q1,NSW
11,6.133601779351196,2.187343496986594,7.058420066700088,2000 Q2,NSW
12,6.209784834141197,2.155526465204416,7.177130898256461,2000 Q3,NSW
13,6.202130042699705,1.999216127180096,7.142679490961903,2000 Q4,NSW
14,6.204185758163559,2.0053389127822254,7.161382556976119,2001 Q1,NSW
15,6.22006766312089,1.9893041360258081,7.186390940165662,2001 Q2,NSW
16,6.189907635637012,1.9724299181034854,7.168299671881383,2001 Q3,NSW
17,6.219342178018696,1.950632564345491,7.2198808768698886,2001 Q4,NSW
18,6.227809140223352,1.791812815669483,7.266437163481424,2002 Q1,NSW
19,6.20830105247439,1.6294425730433733,7.2228366192846885,2002 Q2,NSW
20,6.225558623575805,1.5181112573495787,7.252237224966093,2002 Q3,NSW
21,6.146325849271507,1.397035557165775,7.111093727266313,2002 Q4,NSW
22,6.159611114528612,1.4678910005504924,7.156262909336582,2003 Q1,NSW
23,6.095170029407015,1.3636801527025924,7.060343474379403,2003 Q2,NSW
24,6.011943572935049,1.3398049030914096,6.959279994624049,2003 Q3,NSW
25,5.977750775154429,1.3826244282918134,6.919654094810786,2003 Q4,NSW
26,5.940754213478334,1.3620275346204993,6.877192334065471,2004 Q1,NSW
27,5.957479659655945,1.2578503833914187,6.945525158804916,2004 Q2,NSW
28,5.975072401817526,1.0353851960949125,6.996249607698121,2004 Q3,NSW
29,5.896359063627289,0.8618039119740378,6.842583664819604,2004 Q4,NSW
30,5.908022309709267,0.931586049475283,6.859583595497236,2005 Q1,NSW
